"","index","UAG","OUG","CV Sh.","Total Shrinkage"
"820","28/05/2009",21142868,5845593,-130135,26858326
"821","29/05/2009",12312623,6455145,-12035,18755733
"822","30/05/2009",3052439,6328642,12966,9394047
"823","31/05/2009",13390846,5371095,128121,18890062
"824","01/06/2009",17699522,4805168,84905,22589595
"825","02/06/2009",19829350,3715350,39633,23584333
"826","03/06/2009",12095623,2243944,-499275,13840292
"827","04/06/2009",-627258,2614810,-244444,1743108
"828","05/06/2009",22218584,2673614,-411556,24480642
"829","06/06/2009",5889174,2452520,554415,8896109
"830","07/06/2009",13670451,2421549,627304,16719304
"831","08/06/2009",2491869,2792224,-60300,5223793
"832","09/06/2009",9958548,1751405,-10633,11699320
"833","10/06/2009",17391108,992027,1532772,19915907
"834","11/06/2009",19015834,1557345,1562479,22135658
"835","12/06/2009",9120904,1569047,-412708,10277243
"836","13/06/2009",27160610,2551481,84901,29796992
"837","14/06/2009",16675044,2723857,-13613,19385288
"838","15/06/2009",-1086986,2321357,159851,1394222
"839","16/06/2009",21128702,2099870,265442,23494014
"840","17/06/2009",-6495217,1871888,-230114,-4853443
"841","18/06/2009",10067169,1492733,187266,11747168
"842","19/06/2009",25571910,1729718,143772,27445400
"843","20/06/2009",20744912,2104026,-287319,22561619
"844","21/06/2009",28344758,2397174,281169,31023101
"845","22/06/2009",5594523,2874962,119176,8588661
"846","23/06/2009",6177142,1846917,9986,8034045
"847","24/06/2009",19066742,751323,84949,19903014
"848","25/06/2009",25882586,1482774,-1119,27364241
"849","26/06/2009",-1844531,1754202,-174346,-264675
"850","27/06/2009",8565872,1564413,123991,10254276
"851","28/06/2009",17509759,1569473,72339,19151571
"852","29/06/2009",-907045,1602254,-81493,613716
"853","30/06/2009",9828312,1296043,-89166,11035189
"854","01/07/2009",15301390,1354556,-80343,16575603
"855","02/07/2009",24993675,1398375,148106,26540156
"856","03/07/2009",21159978,1420400,20268,22600646
