"ApplicableFor","System Entry Energy, Aldbrough, D+2","System Entry Energy, Bacton-Perenco, D+1","System Entry Energy, Bacton-Shell, D+1","System Entry Energy, Bacton - BBL, D+2","System Entry Energy, Bacton Interconnector, D+2","System Entry Energy, BactonSeal, D+1","System Entry Energy, Barrow , D+2","System Entry Energy, Burton Point, D+2","System Entry Energy, Dragon, D+1","System Entry Energy, Easington-Langeled, D+1","System Entry Energy, Easington - Dimlington, D+2","System Entry Energy, GrainNTS1, D+1","System Entry Energy, GrainNTS2, D+1","System Entry Energy, HatfieldMoor, D+1","System Entry Energy, HillTop, D+2","System Entry Energy, Hole House Farm, D+2","System Entry Energy, Holford, D+2","System Entry Energy, Hornsea, D+2","System Entry Energy, Humbly Grove, D+2","System Entry Energy, Moffat Entry , D+2","System Entry Energy, Rough, D+2","System Entry Energy, South Hook, D+2","System Entry Energy, ST Fergus - Mobil, D+2","System Entry Energy, STFergus-NSMP, D+1","System Entry Energy, STFergus-Shell, D+1","System Entry Energy, Teesside-BP, D+1","System Entry Energy, Teesside-PX, D+1","System Entry Energy, Theddlethorpe, D+2","System Entry Energy, Stublach, D+2"
2013-05-10,0,36878056,144846730,270075598,31960029,109083333,62279766,0,0,333454878,94661458,0,0,0,22068888,6450831,14644622,15181087,26024167,0,0,538041653,175132222,192420000,203101426,78932970,95182222,112619444,0
2013-05-11,0,0,138208338,176344828,15970653,116139323,67407498,0,0,396299913,92781957,0,0,0,0,4494358,19366591,0,0,0,0,480036113,174744139,192420000,203101426,439255371,63088650,114930556,0
2013-05-12,0,41964111,162668368,206828483,10391783,109775000,61380834,0,0,407421900,101093750,286700,0,0,0,0,0,12818359,0,0,0,465322232,179447139,200381381,222212778,81598830,88231111,111672222,0
2013-05-13,0,46434778,159426448,125890746,19668990,109594444,66826220,0,0,201428960,104322917,0,0,0,0,27408878,217463760,5128743,74476389,0,0,510397237,187107944,163687994,213642778,83007250,112444444,108147222,0
2013-05-14,0,58970556,166696858,65022770,17585002,108744444,66173004,0,0,385451839,101831597,0,0,10104639,0,43547483,200010560,5128744,70035833,0,0,506186117,189701972,157149831,229441667,83808810,92160000,113908333,0
2013-05-15,0,66923361,163868412,131166935,18328964,109019444,65084138,0,0,355505225,84184028,229400,0,13793861,0,1488611,149990960,4915045,70069444,0,0,492125007,192970611,171298358,217939722,72393390,105635556,112866667,0
2013-05-16,0,45122250,161455998,145681371,20669302,108922222,55151719,0,0,320400826,109292535,0,0,9631694,0,0,70000008,17584261,60071111,0,0,512244432,196451111,164640828,220285556,67573220,106648889,104283333,0
2013-05-17,0,66152944,148481389,156593647,15298874,58597222,0,0,0,377089485,107348090,0,0,4484528,0,0,29997512,12455518,56076200,0,0,531680569,200474583,215160000,219983138,65187440,108462222,108281389,0
2013-05-18,0,0,158902724,237680472,9942049,103180881,63901910,0,0,396155599,106921675,208333,0,0,2388882,0,0,0,0,0,0,404911024,200474583,215160000,219983138,439033203,92865668,104849989,0
2013-05-19,0,55712167,150162879,130516853,14010916,115169444,71889304,0,0,205967801,106063368,0,0,2775528,14176372,0,0,6301051,46911111,0,0,402188890,200643833,188120714,219005057,76000830,91484444,101491667,0
2013-05-20,0,48599389,155689040,96151255,17607738,107883333,71332098,0,0,290589752,105177951,0,0,10427750,0,13936106,14644907,3358106,34788333,0,0,419272224,203545167,192584792,249998611,62436530,86560000,98594444,0
2013-05-21,0,47961222,160837136,84277419,11736303,92388889,66425967,0,0,460335621,106471354,0,0,8196389,0,0,0,3663388,27008056,0,64834,426855571,192870361,207865833,210007778,74484190,89208889,95544444,0
2013-05-22,0,47518111,151607590,57081862,87050630,106852778,58451270,0,0,412880808,89895833,0,0,2530194,0,7351664,0,5862033,28024722,0,0,421300015,190541694,227734108,242202778,78703890,94186667,95055556,0
